組織コード	組織名	科目	年度_見通し	MP	MP比	前年比
007000000	イノチオみらい㈱	総受注高	683476367.0	680000000.0	100.5	101.5
007000000	イノチオみらい㈱	総売上高	683476367.0	680000000.0	100.5	101.5
007000000	イノチオみらい㈱	売上高	689687150.0	686230000.0	100.5	101.5
007000000	イノチオみらい㈱	グループ売上高	0.0	0.0		
007000000	イノチオみらい㈱	社内売上高	423291038.0	423000000.0	100.0	97.9
007000000	イノチオみらい㈱	販売奨励金	-6210783.0	-6230000.0		
007000000	イノチオみらい㈱	売上原価	217860207.0	216500000.0	100.6	108.7
007000000	イノチオみらい㈱	仕入高	53578185.0	52500000.0	102.0	89.4
007000000	イノチオみらい㈱	グループ仕入高	103247500.0	104000000.0	99.2	136.4
007000000	イノチオみらい㈱	社内仕入高	423291038.0	423000000.0	100.0	97.9
007000000	イノチオみらい㈱	荷造運搬費	33629059.0	34500000.0	97.4	100.1
007000000	イノチオみらい㈱	販売手数料	27405463.0	25500000.0	107.4	87.7
007000000	イノチオみらい㈱	総収益	465616160.0	463500000.0	100.4	98.5
007000000	イノチオみらい㈱	経費合計	261845898.0	261800000.0	100.0	97.8
007000000	イノチオみらい㈱	経費合計（原価）	214130000.0	213650000.0	100.2	98.3
007000000	イノチオみらい㈱	種苗費*	13439308.0	12600000.0	106.6	130.6
007000000	イノチオみらい㈱	肥料費*	18206953.0	18037000.0	100.9	93.0
007000000	イノチオみらい㈱	培土費用*	8810204.0	8820000.0	99.8	231.9
007000000	イノチオみらい㈱	農薬衛生費*	7015908.0	6731000.0	104.2	102.4
007000000	イノチオみらい㈱	農具費*	3606187.0	2589000.0	139.2	41.0
007000000	イノチオみらい㈱	諸材料費*	61325464.0	60052000.0	102.1	91.0
007000000	イノチオみらい㈱	その他仕入高*	0.0	0.0		
007000000	イノチオみらい㈱	減価償却費*	22970907.0	22970907.0	100.0	98.4
007000000	イノチオみらい㈱	車両費*	0.0	0.0		
007000000	イノチオみらい㈱	水道光熱費*	1966936.0	1970000.0	99.8	100.1
007000000	イノチオみらい㈱	動力費*	20066104.0	21580000.0	92.9	107.3
007000000	イノチオみらい㈱	燃料費*	23137300.0	24100000.0	96.0	106.6
007000000	イノチオみらい㈱	賃借料*	14978771.0	14978760.0	100.0	100.0
007000000	イノチオみらい㈱	修繕費*	4121998.0	5767333.0	71.4	74.8
007000000	イノチオみらい㈱	診断料*	0.0	0.0		
007000000	イノチオみらい㈱	租税公課*	0.0	0.0		
007000000	イノチオみらい㈱	業務委託費*	0.0	0.0		
007000000	イノチオみらい㈱	雑費*	9345315.0	9454000.0	98.8	104.0
007000000	イノチオみらい㈱	雑給*	5138645.0	4000000.0	128.4	86.3
007000000	イノチオみらい㈱	経費合計（販管費）	47715898.0	48150000.0	99.0	95.7
007000000	イノチオみらい㈱	減価償却費	11239209.0	11242179.0	99.9	89.5
007000000	イノチオみらい㈱	車両費	3684755.0	3750400.0	98.2	113.3
007000000	イノチオみらい㈱	旅費交通費	753579.0	780000.0	96.6	152.1
